Id,10%,20%,BT Bo sung,Thi
32_011,7.25,6.5,6,6.75
32_012,7,7.5,5,7
32_013,7,7.25,5.25,7
32_014,6.5,7,5.25,6.5
32_015,7.5,7,5,7.25
32_021,8,6.75,7,7
32_022,7.5,6.5,6,6.5
32_023,7.5,6.5,6,6.5
32_024,7,6.25,6.25,6.5
32_025,7.5,6,6,6
32_031,,,,
32_032,,,,
32_033,,,,
32_034,,,,
32_035,,,,
32_041,,,,
32_042,,,,
32_043,,,,
32_044,,,,
32_045,,,,
32_051,7,5,6,7
32_052,8,6,5,7
32_053,8,6.5,6.75,6
32_054,8,6.75,6.5,6.5
32_055,7.5,6.75,7,7
32_061,7,6.25,7.25,7.5
32_062,6.5,6.5,7,7
32_063,6.75,6.75,7,7.5
32_064,6.5,6,6.75,7
32_065,6,6.25,7,7
32_071,8,7.25,6.75,6.5
32_072,9,8,7,8
32_073,7.75,6.8,6.5,6.5
32_074,7.25,6.25,6,6
32_075,7.25,6125,6,6
32_081,7.25,6,7,7
32_082,7.25,6.75,7.25,7
32_083,7,3123,7.5,7
32_084,0,5.5,7.5,7
32_085,7.25,6.5,7,7
32_091,8125,7375,7.25,7
32_092,8.75,3.75,8,6
32_093,8.5,3.5,7.5,6
32_094,8.5,7875,7.5,7.5
32_095,8.75,7.5,8,7.5
32_101,8.5,6.75,,7.5
32_102,9,6.75,,7.5
32_103,9,7,,8
32_104,8.5,6.75,,7.5
32_105,8,7,,7.25
32_111,7.75,7,6.75,7.5
32_112,7.75,7,7,7.5
32_113,7.5,7,7,7.5
32_114,7.5,7,7.25,7.25
32_115,7.75,8.25,8,8
32_121,8.25,7.75,7,8
32_122,7.5,7.25,7,7
32_123,7625,7.25,7,7
32_124,7,6875,6.5,6
32_125,9,8.75,9,9
32_131,7.25,7.75,7.5,7.5
32_132,7,3,7,6.5
32_133,6.5,7,7.25,6
32_134,,,,
32_135,,,,
32_141,8.25,7.75,7.75,7
32_142,8.25,3.5,7.5,6
32_143,7.75,7,7.25,6
32_144,8,7.25,7,7
32_145,7.75,7,7.5,6.5
32_146,7.75,7.25,8,7
32_151,5.5,6.75,6.75,6.5
32_152,7,7,6,6
32_153,4,7,6,6
32_154,7.5,7,8,7
32_155,3.5,3,5.5,5
